year,word,frequency,topic
2009,head,0.0022159268839253956,14
2010,head,0.0022373646499974356,14
2011,head,0.0020385042802678163,14
2012,head,0.001753493064888697,14
2013,head,0.0015840022536163154,14
2014,head,0.0015288475109419847,14
2015,head,0.0014500536754193417,14
2016,head,0.0013737143838261133,14
2017,head,0.001315675673554013,14
2000,score,0.0010508533425696734,14
2001,score,0.0010848723368173862,14
2002,score,0.0011370603920462061,14
2003,score,0.0012060880990650497,14
2004,score,0.0012823081826291221,14
2005,score,0.0013995596153974215,14
2006,score,0.0015429490834576263,14
2007,score,0.0016662965274951555,14
2008,score,0.0017467114695009236,14
2009,score,0.0017703936694862797,14
2010,score,0.001818800075226091,14
2011,score,0.001848263196565222,14
2012,score,0.0019106752378960199,14
2013,score,0.0019943947176145585,14
2014,score,0.002020694091056623,14
2015,score,0.0020251078699125456,14
2016,score,0.002031685504500711,14
2017,score,0.002020407834803222,14
2000,preference,0.0017837671383614858,14
2001,preference,0.0017864380502217066,14
2002,preference,0.0018221394849706274,14
2003,preference,0.0019235074348345786,14
2004,preference,0.002119607811807851,14
2005,preference,0.0023195589933194634,14
2006,preference,0.0024659849305093363,14
2007,preference,0.0022713981141875292,14
2008,preference,0.0020772391547852396,14
2009,preference,0.0018686663945263068,14
2010,preference,0.001637713163887662,14
2011,preference,0.001436191111545547,14
2012,preference,0.001255588979604804,14
2013,preference,0.0011143540871129895,14
2014,preference,0.0010127350366226787,14
2015,preference,0.0009275788078526764,14
2016,preference,0.0008589248981190976,14
2017,preference,0.0008186522652048223,14
2000,string,0.0017140748589844603,14
2001,string,0.0016777367855899642,14
2002,string,0.0016524961538351229,14
2003,string,0.001698553065261337,14
2004,string,0.0018434403005830845,14
2005,string,0.002037795139286116,14
2006,string,0.0021954074670484367,14
2007,string,0.0022547863894794742,14
2008,string,0.0022870438019521808,14
2009,string,0.0022733394340588224,14
2010,string,0.002054316132413114,14
2011,string,0.0017020818580054168,14
2012,string,0.0013874226228743076,14
2013,string,0.001142128419828012,14
2014,string,0.0009509947344918866,14
2015,string,0.0008285670273836538,14
2016,string,0.0007620261249386305,14
2017,string,0.0007291096877480341,14
2000,text,0.001366823965574901,14
2001,text,0.0013674807499266485,14
2002,text,0.0013665513904399292,14
2003,text,0.0013716541701017796,14
2004,text,0.0013876754356400244,14
2005,text,0.0013994104012565519,14
2006,text,0.0014036924176449314,14
2007,text,0.0013870787949917828,14
2008,text,0.0013570276838958538,14
2009,text,0.0013444458119706252,14
2010,text,0.0013679969513234584,14
2011,text,0.0014403120668104912,14
2012,text,0.0015820184708431933,14
2013,text,0.001784537362945616,14
2014,text,0.0020324760912525906,14
2015,text,0.002256089391398939,14
2016,text,0.0024201962557475615,14
2017,text,0.0025219514298262273,14
2000,coherence,0.0015022072456451156,14
2001,coherence,0.0014365360769070757,14
2002,coherence,0.0014233790245470222,14
2003,coherence,0.0015095220576278614,14
2004,coherence,0.0017117724109239256,14
2005,coherence,0.002124169624376393,14
2006,coherence,0.002575044622979744,14
2007,coherence,0.002611363541806689,14
2008,coherence,0.0023798841209089266,14
2009,coherence,0.002137925537604788,14
2010,coherence,0.0018146918400380315,14
2011,coherence,0.001476545001389422,14
2012,coherence,0.0012581308303855699,14
2013,coherence,0.0010728560169479089,14
2014,coherence,0.0009683542639261309,14
2015,coherence,0.0008818313724043041,14
2016,coherence,0.0008296572671391833,14
2017,coherence,0.0007881083695470026,14
2000,frequent,0.0009306853094196213,14
2001,frequent,0.000980131846447094,14
2002,frequent,0.0010576538539243297,14
2003,frequent,0.001141873626018782,14
2004,frequent,0.0012314868964910235,14
2005,frequent,0.0013240259254777443,14
2006,frequent,0.0014417990279860047,14
2007,frequent,0.0015897520087747637,14
2008,frequent,0.0017542822851358655,14
2009,frequent,0.0018871676669675657,14
2010,frequent,0.0019122545571725318,14
2011,frequent,0.0018148168576626123,14
2012,frequent,0.001763427758420538,14
2013,frequent,0.0017861356015921282,14
2014,frequent,0.0017903274318537914,14
2015,frequent,0.0018836103951991798,14
2016,frequent,0.0020204998886578862,14
2017,frequent,0.002095677120395714,14
2000,computational,0.0013174498305830525,14
2001,computational,0.0013457075214692055,14
2002,computational,0.001391866710527,14
2003,computational,0.0014542193003464327,14
2004,computational,0.0015246567331083996,14
2005,computational,0.0015949817998659108,14
2006,computational,0.0016638362539930982,14
